run_id,phase,scenario,model,fold,feature_set,pretraining,protocol_hash,semantic_config_hash,implementation_commit,environment_hash,pos_weight,best_epoch,best_validation_auc,status,artifact_path
C1-S1-canonical_mlp-not_applicable-D-fold0-668dcdb9dbe1,C1,S1,canonical_mlp,0,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,668dcdb9dbe147549098c60e0c90208933c5479ea10f3419e25d72d87d4223ef,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,1.4018043279647827,5,0.6299351226766208,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-S1-canonical_mlp-not_applicable-D-fold0-668dcdb9dbe1
C1-S1-canonical_mlp-not_applicable-D-fold1-a6c620f2e7c2,C1,S1,canonical_mlp,1,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,a6c620f2e7c2a8d493a34636dc339db19d037223d16e9d634b92681331b1968b,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,1.4018529653549194,10,0.6211488309136257,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-S1-canonical_mlp-not_applicable-D-fold1-a6c620f2e7c2
C1-S1-canonical_mlp-not_applicable-D-fold2-e22969fc9f35,C1,S1,canonical_mlp,2,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,e22969fc9f35cc0de503debf86c4a7061925ebaebd6306ac9e71de9da5b0e62f,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,1.4018876552581787,9,0.6213295247280927,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-S1-canonical_mlp-not_applicable-D-fold2-e22969fc9f35
C1-S1-canonical_mlp-not_applicable-D-fold3-ce8ef7de65a2,C1,S1,canonical_mlp,3,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,ce8ef7de65a2764a5572d70f2f7f2978eb095ec1981009186dc4b8d083b6208f,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,1.4018669128417969,5,0.6202413354786377,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-S1-canonical_mlp-not_applicable-D-fold3-ce8ef7de65a2
C1-S1-canonical_mlp-not_applicable-D-fold4-7b5e63103c03,C1,S1,canonical_mlp,4,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,7b5e63103c03bea29fe9b484e3db5d4d18697dd364e1c9ff5d371dc9cc75d23d,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,1.4018043279647827,10,0.6209618143935438,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-S1-canonical_mlp-not_applicable-D-fold4-7b5e63103c03
C1-realmlp-D-fold0-1cb3f20495f5,C1,S1,realmlp,0,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,1cb3f20495f502232a080439b17785c2b6e64fcaefbdfe47b23f53fb32891115,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,not_applicable,model_managed,0.6304216991660299,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-realmlp-D-fold0-1cb3f20495f5
C1-realmlp-D-fold1-9f16fb3ca9cd,C1,S1,realmlp,1,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,9f16fb3ca9cd6c1d7058443925c29d7fe09732856463c471e8f7c1e14061c040,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,not_applicable,model_managed,0.6219332765337602,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-realmlp-D-fold1-9f16fb3ca9cd
C1-realmlp-D-fold2-8bb40cda3e2c,C1,S1,realmlp,2,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,8bb40cda3e2c4ed4482604f20a920ebddd36d40bf6a6ee249b27c408826262b8,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,not_applicable,model_managed,0.622443211237204,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-realmlp-D-fold2-8bb40cda3e2c
C1-realmlp-D-fold3-882c631faeac,C1,S1,realmlp,3,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,882c631faeacc52b08aa9715df7a1d11c228eff25614a856c8e0fbac486387cd,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,not_applicable,model_managed,0.6215291267331234,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-realmlp-D-fold3-882c631faeac
C1-realmlp-D-fold4-b80144f38c46,C1,S1,realmlp,4,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,b80144f38c46abb8028831a2f10b71575342d83feb2d5cdd99aab3f12dceefbf,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,not_applicable,model_managed,0.6226525005360058,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-realmlp-D-fold4-b80144f38c46
C1-tabm-D-fold0-3c6a21f81220,C1,S1,tabm,0,D,not_applicable,d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32,3c6a21f81220a2df74280955b5d680c00e566195f1f698a989f85a51a2654c53,f3181c9d7dbce55ba57e5f8cebf8347f9840cf29,8986d0e7f3809a317f6fb0c51882cbdc09da5b02b3e9ae3b7a6bb0984d861ed9,not_applicable,model_managed,0.6268978798907098,done,D:\TA\nih-multimodal\results\canonical\d42337690181f1054297f514934ad0c98bb718223bc06d8de5569f40a184ee32\runs\C1-tabm-D-fold0-3c6a21f81220
